day	habitat	location	ID	status	time	timeday
7/27/2023	forest	gamboa	gamboa1.6	1	70	midday
7/27/2023	forest	gamboa	gamboa1.6	1	75	midday
7/27/2023	forest	gamboa	gamboa1.6	1	75	midday
7/27/2023	forest	gamboa	gamboa1.6	1	75	midday
7/27/2023	forest	gamboa	gamboa1.6	1	80	midday
7/28/2023	forest	gamboa	gamboa1.6	1	80	midday
7/29/2023	forest	gamboa	gamboa1.6	1	85	midday
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.7	0	120	morning
7/29/2023	forest	gamboa	gamboa1.8	1	40	midday
7/29/2023	forest	gamboa	gamboa1.8	1	75	midday
7/29/2023	forest	gamboa	gamboa1.8	1	95	midday
7/29/2023	forest	gamboa	gamboa1.8	0	120	midday
7/29/2023	forest	gamboa	gamboa1.8	0	120	midday
7/29/2023	forest	gamboa	gamboa1.8	0	120	midday
7/29/2023	forest	gamboa	gamboa1.8	0	120	midday
7/29/2023	forest	gamboa	gamboa1.8	0	120	midday
7/29/2023	forest	gamboa	gamboa1.8	0	120	midday
7/29/2023	forest	gamboa	gamboa1.8	0	120	midday
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
7/29/2023	forest	gamboa	gamboa1.9	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.1	0	120	morning
8/1/2023	urban 	university	UP1.2	1	15	morning
8/1/2023	urban 	university	UP1.2	0	120	morning
8/1/2023	urban 	university	UP1.2	0	120	morning
8/1/2023	urban 	university	UP1.2	0	120	morning
8/1/2023	urban 	university	UP1.2	0	120	morning
8/1/2023	urban 	university	UP1.2	0	120	morning
8/1/2023	urban 	university	UP1.2	0	120	morning
8/1/2023	urban 	university	UP1.2	0	120	morning
8/1/2023	urban 	university	UP1.2	0	120	morning
8/1/2023	urban 	university	UP1.2	0	120	morning
